path,size_bytes,category,staging_policy,future_destination,provenance_reference,notes
output/imagegen/parse-mantis-idle-chroma.png,1549092,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/parse-mantis-idle-spritesheet.png,925820,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/parse-mantis-idle-transparent.png,852532,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/parse-mantis-linear-attack-chroma.png,1640801,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/parse-mantis-linear-attack-spritesheet.png,1058230,master-concept-source,exclude-first-staging,assets-source/concepts/,ASSET-CLASSIFICATION.md,"Master, concepto o export previo a normalización runtime"
output/imagegen/parse-mantis-linear-attack-transparent.png,1035498,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_boolean-beetle-legacy-grove-arena-source.png,2702195,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_boolean-beetle-legacy-grove-base-tileset-alpha-source.png,1713611,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_boolean-beetle-legacy-grove-base-tileset-chroma-source.png,2244103,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_boolean-beetle-legacy-grove-machinery-effects-alpha-source.png,1013822,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_boolean-beetle-legacy-grove-machinery-effects-chroma-source.png,1767126,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_boolean-beetle-legacy-grove-props-atlas-alpha-source.png,1342277,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_boolean-beetle-legacy-grove-props-atlas-chroma-source.png,1916240,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_boolean-beetle-legacy-memory-grove-concept-source-v1.png,2585403,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_bug-slayer-language-select-background-source.png,1160347,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_cast-hornet-aerial-router-base-tileset-alpha-source.png,2123068,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_cast-hornet-aerial-router-base-tileset-chroma-source.png,2495985,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_cast-hornet-aerial-router-complete-area-source.png,3052273,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_cast-hornet-aerial-router-machinery-effects-alpha-source.png,1057823,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_cast-hornet-aerial-router-machinery-effects-chroma-source.png,1792530,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_cast-hornet-aerial-router-props-atlas-alpha-source.png,1195803,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_cast-hornet-aerial-router-props-atlas-chroma-source.png,1836835,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-base-tileset-alpha-source.png,1867788,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-base-tileset-chroma-source.png,2102651,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-linear-area-source.png,2867194,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-machinery-effects-alpha-source.png,1007134,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-machinery-effects-chroma-source.png,1636171,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-props-atlas-alpha-source.png,1224353,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-props-atlas-chroma-source.png,1816070,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-state-1-arrival-edit-target.png,1420711,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-state-1-arrival-reencoded.png,2825768,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-state-1-arrival-source.png,2786355,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-state-2-combat-edit-target.png,1379816,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-state-2-combat-source.png,2663701,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_compilation-garden-state-3-victory-source-rejected.png,2518997,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_conversion-hive-concept-sheet-source-v1.png,2818318,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_conversion-hive-concept-sheet-source-v2.png,2713084,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_holographic-dachshund-materialize-idle-alpha-source.png,1171231,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_holographic-dachshund-materialize-idle-chroma-source.png,1724233,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-base-tileset-alpha-source.png,1252271,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-base-tileset-chroma-source.png,1449118,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-dialogue-window-alpha-source.png,402584,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-dialogue-window-chroma-source.png,932709,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-machinery-effects-alpha-source.png,665384,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-machinery-effects-chroma-source.png,1241084,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-props-atlas-alpha-source.png,787090,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-props-atlas-chroma-source.png,1318348,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-state-1-source.png,1818729,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-state-2-source.png,1846423,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-state-3-source.png,1800677,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-state-dialogue-v2-source.png,1811247,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-state-hologram-v2-source.png,1876576,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-state-loading-v2-source.png,1775284,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_initial-office-state-movement-v2-source.png,1795652,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_mutable-widow-lair-base-tileset-alpha-source.png,2099487,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_mutable-widow-lair-base-tileset-chroma-source.png,2396487,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_mutable-widow-lair-complete-area-source.png,1953070,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_mutable-widow-lair-machinery-effects-alpha-source.png,1345871,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_mutable-widow-lair-machinery-effects-chroma-source.png,1951371,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_mutable-widow-lair-props-atlas-alpha-source.png,1349571,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_mutable-widow-lair-props-atlas-chroma-source.png,1912520,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_mycelial-corruption-progressive-atlas-chroma-source.png,1771817,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_senior-engineer-seated-narrative-alpha-source.png,1336708,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_senior-engineer-seated-narrative-chroma-source.png,1803913,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_senior-engineer-wake-stand-alpha-source.png,786584,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/_senior-engineer-wake-stand-chroma-source.png,1472100,temporary-intermediate,ignore-never-stage,,ASSET-CLASSIFICATION.md,"Fuente cromática, alpha o salida intermedia"
output/imagegen/runtime-v1/boolean-beetle-boolean-burst-impact-runtime-v1.png,7171,runtime-approved,stage-runtime,game/public/assets/projectiles/,output/imagegen/runtime-v1/boolean-beetle-boolean-burst-impact-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-boolean-burst-projectiles-runtime-v1.png,9934,runtime-approved,stage-runtime,game/public/assets/projectiles/,output/imagegen/runtime-v1/boolean-beetle-boolean-burst-projectiles-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-boolean-burst-runtime-v1.png,232361,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-boolean-burst-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-branch-charge-runtime-v1.png,196841,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-branch-charge-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-damage-runtime-v1.png,199204,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-damage-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-defeat-runtime-v1.png,184905,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-defeat-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-false-path-decoy-routes-runtime-v1.png,2261,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-false-path-decoy-routes-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-false-path-impact-runtime-v1.png,10285,runtime-approved,stage-runtime,game/public/assets/projectiles/,output/imagegen/runtime-v1/boolean-beetle-false-path-impact-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-false-path-projectiles-runtime-v1.png,18718,runtime-approved,stage-runtime,game/public/assets/projectiles/,output/imagegen/runtime-v1/boolean-beetle-false-path-projectiles-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-false-path-runtime-v1.png,235579,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-false-path-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-heavy-movement-runtime-v1.png,207295,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-heavy-movement-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-idle-runtime-v1.png,202243,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-idle-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-infected-idle-runtime-v1.png,220892,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-infected-idle-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-infection-reactivation-runtime-v1.png,97111,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-infection-reactivation-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-legacy-grove-arena-runtime-v1.png,1134394,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/boolean-beetle-legacy-grove-base-tileset-runtime-v1.png,120273,runtime-approved,stage-runtime,game/public/assets/tilesets/,output/imagegen/runtime-v1/boolean-beetle-legacy-grove-base-tileset-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-legacy-grove-machinery-effects-runtime-v1.png,83897,runtime-approved,stage-runtime,game/public/assets/effects/environment/,output/imagegen/runtime-v1/boolean-beetle-legacy-grove-machinery-effects-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-legacy-grove-props-atlas-runtime-v1.png,86274,runtime-approved,stage-runtime,game/public/assets/tilesets/props/,output/imagegen/runtime-v1/boolean-beetle-legacy-grove-props-atlas-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-legacy-grove-state-1-arrival-runtime-v1.png,1135777,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/boolean-beetle-legacy-grove-state-2-sub-boss-runtime-v1.png,1139420,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/boolean-beetle-legacy-grove-state-3-cleared-runtime-v1.png,1139337,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/boolean-beetle-legacy-grove-three-states-comparison-runtime-v1.png,343921,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/boolean-beetle-legacy-memory-grove-concept-sheet-runtime-v1.png,1022447,superseded-rejected,exclude-from-baseline,,output/imagegen/runtime-v1/boolean-beetle-legacy-memory-grove-concept-sheet-runtime-v1.md,Reemplazado o incompatible con el alcance vigente
output/imagegen/runtime-v1/boolean-beetle-legacy-memory-grove-concept-sheet-runtime-v2.png,1026455,validation-reference,exclude-runtime,assets-source/validation/,output/imagegen/runtime-v1/boolean-beetle-legacy-memory-grove-concept-sheet-runtime-v2.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/boolean-beetle-preboss-arena-environment-concept-v1.png,1420711,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/boolean-beetle-xor-crossfire-impact-runtime-v1.png,12292,runtime-approved,stage-runtime,game/public/assets/projectiles/,output/imagegen/runtime-v1/boolean-beetle-xor-crossfire-impact-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-xor-crossfire-projectiles-runtime-v1.png,8976,runtime-approved,stage-runtime,game/public/assets/projectiles/,output/imagegen/runtime-v1/boolean-beetle-xor-crossfire-projectiles-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/boolean-beetle-xor-crossfire-runtime-v1.png,227977,runtime-approved,stage-runtime,game/public/assets/sprites/enemies/,output/imagegen/runtime-v1/boolean-beetle-xor-crossfire-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/bug-slayer-boot-menu-intro-bilingual-comparison-runtime-v1.png,274498,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-boot-screen-runtime-v1.png,440167,runtime-approved,stage-runtime,game/public/assets/ui/,ASSET-CLASSIFICATION.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/bug-slayer-challenge-multiple-choice-panel-runtime-v1.png,1359,runtime-approved,stage-runtime,game/public/assets/ui/,ASSET-CLASSIFICATION.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/bug-slayer-challenge-multiple-choice-preview-en-runtime-v1.png,785980,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-challenge-multiple-choice-preview-es-runtime-v1.png,786945,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-challenge-typed-panel-runtime-v1.png,1179,runtime-approved,stage-runtime,game/public/assets/ui/,ASSET-CLASSIFICATION.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/bug-slayer-challenge-typed-preview-en-runtime-v1.png,817126,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-challenge-typed-preview-es-runtime-v1.png,817545,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-challenge-variants-bilingual-comparison-runtime-v1.png,499024,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-combat-hud-bilingual-comparison-runtime-v1.png,295175,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-combat-hud-kit-runtime-v1.png,2307,runtime-approved,stage-runtime,game/public/assets/ui/,output/imagegen/runtime-v1/bug-slayer-combat-hud-kit-runtime-v1.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/bug-slayer-combat-hud-preview-en-runtime-v1.png,982951,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-combat-hud-preview-es-runtime-v1.png,982882,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-defeat-preview-en-runtime-v1.png,446184,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-defeat-preview-es-runtime-v1.png,448583,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-demo-end-card-runtime-v1.png,131176,runtime-approved,stage-runtime,game/public/assets/ui/,ASSET-CLASSIFICATION.md,PNG runtime normalizado; conservar nombre hasta AssetManifest
output/imagegen/runtime-v1/bug-slayer-demo-ending-comparison-runtime-v1.png,814665,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-encounter-transition-preview-en-runtime-v1.png,685237,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
output/imagegen/runtime-v1/bug-slayer-encounter-transition-preview-es-runtime-v1.png,684984,validation-reference,exclude-runtime,assets-source/validation/,ASSET-CLASSIFICATION.md,"Composición, preview o guía; no se carga directamente"
